English,Arabic
" The winners of each pairing, higher than bold, qualify for the following round.",ويتأهل الفائزون في كل مجموعة من الازياء ، التي تكون اعلى من الجريئة ، للجولة التالية.
 Many families have moved into these houses.,وقد انتقلت أسر كثيرة إلى هذه المنازل.
 Fitchell seems likely to have been played with equal numbers on both sides.,يبدو أن من المرجح أن يكون قد لعب مع أعداد متساوية على كلا الجانبين.
 Air Academy has received national acclaim for its numerous instrumental ensembles.,وقد تلقت الأكاديمية الجوية استحساناً وطنياً على العديد من مجموعاتها الفعالة.
 Call the Doctor was written in three weeks and recorded in four days.,الاتصال بالدكتور كُتب في ثلاثة أسابيع و سُجّل في أربعة أيام.
 He retired from basketball after the season.,تقاعد من كرة السلة بعد الموسم
" For more details on geological crystal formation, see above.",وللاطلاع على مزيد من التفاصيل عن التكوين الكريستالي الجيولوجي، انظر أعلاه.
 This document shows that the Catholic Church is officially moved to unity.,وتبين هذه الوثيقة أن الكنيسة الكاثوليكية تنتقل رسميا إلى الوحدة.
 The marriage resulted in a rift between mother and son.,وأدى الزواج إلى انشقاق بين الأم وابنها.
 Billshare often structures its investment mandates to meet specific objectives.,فكثيراً ما يبني مشروع القانون ولاياته الاستثمارية من أجل تحقيق أهداف محددة.
 Its supports had to be attached to the Mensa.,وكان لا بد من ربط دعمها بالمنسا.
 Fuel was delivered via multiport fuel injection.,وقد تم تسليم الوقود عن طريق حقن وقود متعدد الموانئ.
 No tree may be felled on the holy ground.,ولا يجوز سقوط أي شجرة على الأرض المقدسة.
" Despite the movement of the Ferd Mines, fighting continued throughout the country.",وعلى الرغم من حركة الألغام البرية، استمر القتال في جميع أنحاء البلد.
 Mr. Mallory was hit by a car on his way to work.,السيد (مالوري) صدمته سيارة وهو في طريقه للعمل
 It is not thus used in England.,وهو غير مستخدم على هذا النحو في انكلترا.
 Mach-Eldalon production was a result of correcting a dislike of symmetry.,وكان إنتاج ماش إلدالون نتيجة لتصحيح كره للتماثل.
 Carlson High School's mascot is the senator.,تمويه مدرسة (كارلسون) الثانوية هو السيناتور
 Transport network analysis falls within the field of transport engineering.,ويندرج تحليل شبكة النقل في مجال هندسة النقل.
 I will review some of the notable developments in the economy and financial system.,وسأستعرض بعض التطورات الملحوظة في الاقتصاد والنظام المالي.
 Trent manages to secure a small fighter and departs for Severa.,(ترينت) يعمل على تأمين مقاتل صغير ويغادر إلى (سيفيرا)
 People always back up in small country lanes to let you pass.,الناس دائماً ما يتراجعون في ممرات صغيرة في البلاد ليتركوك تمر.
 The ancients were also called sorers for their common appearance in the air.,وقد دُعي القدماء ايضا حوريات لمظهرهم المشترك في الهواء.
 This will lead to a more active participation from the patient side.,وهذا سيؤدي إلى مشاركة أكثر فعالية من جانب المريض.
 Types with two or three sets of guide cathodes could count in either direction.,ويمكن للأنواع التي تحتوي على مجموعتين أو ثلاث مجموعات من الكاثودات الإرشادية أن تحسب في أي من الاتجاهين.
" In Britain, the earliest records of this surname appear mainly in the West Country.",وفي بريطانيا، تظهر السجلات الأولى لهذا اللقب بصورة رئيسية في البلاد الغربية.
 This remarkable discovery was unprecedented at the time.,وكان هذا الاكتشاف الرائع لم يسبق له مثيل في ذلك الوقت.
 Telescopes with apertures of or larger are needed to distinguish structures in the galaxy.,وهناك حاجة إلى مناظير ذات فتحات من أو أكبر لتمييز الهياكل في المجرة.
 It was named Christmas Fairyland.,كان اسمه عيد الميلاد في أرض الحوريات.
 The single storage shed contains blocked arches.,غرفة التخزين الواحدة تحتوي على مقصورات مقفلة
 It is hosted by Anne-Marie Mediwake and Ben Moroni.,ويستضيفها آن - ماري مديواكي وبن موروني.
" Caledonian decided to apply for membership, as did city rivals Inverness Thistle.",وقرر كاليدونيا التقدم بطلب العضوية، كما فعل منافسو المدينة إنفرنيس ثتل.
" The longer lines have four accents, and the shorter ones usually only three.",الخطوط الأطول لها أربع لكنات والأقصر عادةً ثلاثة فقط
 This higher level is associated with strong individual approaches to problem solving and creativity.,ويرتبط هذا المستوى الأعلى بنُهج فردية قوية لحل المشاكل والإبداع.
 The ending also implies that her strength exceeded Karen's.,النهاية تعني أيضاً أن قوتها تجاوزت قوة (كارين)
 The village is open each weekend from May to the end of September.,وتفتح القرية أبوابها في نهاية كل أسبوع من أيار/مايو إلى نهاية أيلول/سبتمبر.
 Videographers use nonlinear editing software on home computers.,ويستخدم المخطِّطون برامجيات تحرير غير خطّية على الحواسيب المنـزلية.
 This is a close-up view of the main character currently being played.,وهذه نظرة متقاربة إلى الطابع الرئيسي الذي يجري الاضطلاع به حالياً.
 This institution is a prestigious university in Brazil.,وهذه المؤسسة جامعة مرموقة في البرازيل.
 The Matilda Tower at Point Clay has been converted into a war museum.,برج (ماتيلدا) عند نقطة (كلاي) تم تحويله إلى متحف حرب
" Shortly after he signed, the Alouettes folded and the franchise began the Montreal Concords.",وبعد وقت قصير من توقيعه ، طُويت ألويتس وبدأ الامتياز مواثيق مونتريال.
 Vautour is the French word for vulture.,(فيوور) هي الكلمة الفرنسية للنسر.
 He published his earliest works for the cello.,قام بنشر أشغاله الأولى للتشيلو.
" First, there is not one standard transcription in use even for standard Arabic.",أولاً، لا يوجد نموذج واحد يستخدم حتى بالنسبة للغة العربية القياسية.
 Redmond helicopter arrives on the scene with a film for everyone to watch.,تصل مروحية (ريدموند) إلى مسرح الجريمة مع فيلم ليشاهده الجميع
" However, not merely is there no record of the wedding.",على أية حال، ليس فقط ليس هناك أي سجل للزفاف.
 The Center does not award graduate degrees.,ولا يمنح المركز درجات جامعية.
" Traffic is really bad today, probably because it's a free day weekend.",حركة المرور سيئة جدا اليوم، ربما لأنها عطلة نهاية أسبوع مجانية.
 Diagnosis is made by Biomicroscopic Examination in the Clinic.,ويتم التشخيص عن طريق الفحص البيوكروسكوبي في العيادة.
 Trunking also refers to the connection of switches and circuits within a telephone exchange.,ويشير التكرير أيضاً إلى الربط بين مفاتيح التبديل والدوائر داخل مقسم هاتفي.
" Like most of the Batman family, Stephanie Brown has no superhuman powers.",مثل معظم عائلة (باتمان) (ستيفاني براون) ليس لديها قوى خارقة
 Andrew leads a revolt and takes a council member hostage.,(أندرو) يقود ثورة ويأخذ عضواً في المجلس كرهينة
 He suddenly goes into convulsions himself and soon transforms into an alien creature himself.,وسرعان ما يتحول إلى مخلوق فضائي بنفسه.
 Liberia then liquidated the property of German nationals in Liberia.,وقامت ليبريا بعد ذلك بتصفية ممتلكات الرعايا الألمان في ليبريا.
" Despite hard work and rough seas, the ships only found one mine.",وعلى الرغم من العمل الدؤوب والبحار القاسية، لم تجد السفن سوى لغما واحدا.
 Því lægileg hér með síx manns íntu fís ríinn.,(أ) لا ينطبق على النص العربي، بل على النص العربي.
 The local council has made concurrent improvement to the surrounding area.,وقد حقق المجلس المحلي تحسناً متزامناً في المنطقة المحيطة.
 Our argument may be briefly indicated in advance as follows.,ويمكن الإشارة بإيجاز إلى حجتنا مسبقا على النحو التالي:
 Guinea's World Records considers it a production motorcycle.,سجلات (غينيا) العالمية تعتبرها دراجة نارية منتجة
 Harmonic functions are the classical example to which the strong maximum principle applies.,والوظائف المتناسقة هي المثال التقليدي الذي ينطبق عليه مبدأ الحد الأقصى القوي.
 He also wrote an empire of dust about the dust bowl.,وكتب أيضاً إمبراطورية من الغبار عن الغبار
" However, month by month breakdowns for domestic sales of individual car models are available.",ومع ذلك، تتاح شهرياً حسب الشهر تفاصيل المبيعات المحلية لنماذج السيارات الفردية.
" However, it isn't at all about itself geographically.",ومع ذلك، فإنه ليس على الإطلاق عن نفسها جغرافيا.
 It has now ended its third season.,وقد أنهت الآن موسمها الثالث.
 The executive wing is headed by the Commissioner.,ويرأس الجناح التنفيذي المفوض.
 Then one gives rigorous mathematical constructions of examples satisfying these axioms.,ثم يعطي المرء بناءات رياضية صارمة من الامثلة التي تُرضي هذه الاكسجينات.
" The Devonport Leet, a man-made water channel, passes nearby.",(ديفونبورت ليت)، قناة مياه من صنع الإنسان، تمر بالقرب من هنا.
 The Ithaca Journal produces a youth-oriented tabloid-sized publication called Buzz every week.,"وتصدر مجلة إيثاكا منشورا ذا حجم شبابي يسمى "" باز "" كل أسبوع."
 It is one of the thinnest steel and concrete towers in the world.,وهو أحد أرقى الأبراج الفولاذية والخرسانية في العالم.
" As a teenager in St. Louis, Missouri, he played with Charlie Creith.",كمراهق في سانت لويس، ميسوري، لعب مع تشارلي كريث.
 Graduates of the school are prepared to pursue an artistic and theatrical occupation.,ويستعد خريجو المدرسة لممارسة مهنة فنية ومسرحية.
" In contrast, the backwash is dominated by the sheet flow and bed load sediment transport.",وعلى النقيض من ذلك، يهيمن على عملية غسل الظهر تدفق الصفائح ونقل رواسب الحمل في الأسرّة.
 Silo is served by Silo High School.,وتخدم مدرسة سيلو الثانوية سيلو سيلو.
 The drug is administered for 7 to 10 days.,ويدار العقار لمدة تتراوح بين 7 و 10 أيام.
 The gardens are open to the public daily.,الحدائق مفتوحة للجمهور يومياً.
 Defines the genre.,يُعرّفُ الميولَ.
" Therefore, the defendants prevailed and did not have to pay.",ومن ثم، فإن المدعى عليهم قد تغلبوا ولم يكن عليهم أن يدفعوا الثمن.
 A local woodcutter discovered a stream that ran with fine sake.,واكتشفت احدى الحطب المحلية تيارا يسير برشاقة.
 Katronis was named by Homer.,سُميت من قبل (هومر)
 Women competed in the steeplechase for the first time.,وتنافست النساء لأول مرة في برج الفرسان.
" Poyakov underwent many car accidents before, during and after the flight.",وتعرضت بوياكوف للعديد من حوادث السيارات قبل الرحلة وأثناءها وبعدها.
 A terrorist group called Kryon Lions take control of the space-based laser weapon.,مجموعة إرهابية تُدعى (كريون ليونز) تسيطر على سلاح الليزر الفضائي.
 They got engaged at Comate George Lodge in Muntumalanga.,(لقد خطبوا في (كومات جورج لودج) في (مونتومالانغا
 Vísen sjóðjara karlín var í um ístu fyrir þér.,Vísen sjóojojara karlin var èstu ferir érér.
" Until his death, Bettelheim lived in Paris.",حتى وفاته، بيتلهايم عاش في باريس.
 Rain and wind also cause temporal variation to the phyllosphere microbiome.,كما أن المطر والرياح يسببان تبايناً زمنياً بالنسبة للميكروبيو في الغلاف الحيوي.
 Castles went on to investigate the Lhasa outbreaks in West Africa.,استمرّت القلعات في التحقيق في إنتشارات (لاهاسا) في غرب (أفريقيا).
 He took part in the American War of Independence.,شارك في حرب الاستقلال الأمريكية.
 They had spent them previous three years in a refugee camp in Sudan.,وقد أمضوا ثلاث سنوات سابقة في مخيم للاجئين في السودان.
 She continues to perform regularly at live venues and appears on television and radio.,ولا تزال تعمل بانتظام في أماكن حية وتظهر في التلفزيون والإذاعة.
 He was on the post-season roster where he made one appearance without an at-bat.,كان على قائمة ما بعد الموسم حيث قام بمثول واحد بدون قتال.
 These interactions are joined with other roads.,وتضاف هذه التفاعلات مع طرق أخرى.
 His older brother was film school composer James Horner.,شقيقه الأكبر كان ملحن مدرسة سينمائي (جيمس هورنر)
 The third test was washed out after only three hours play.,وقد أُزيل الاختبار الثالث بعد ثلاث ساعات فقط من اللعب.
 Six to eight pairs of nerves are formed.,يتم تشكيل ستة إلى ثمانية أزواج من الأعصاب.
" Consequently, there are also two types of oats.",ونتيجة لذلك، هناك أيضا نوعان من الشوفان.
 They also vary in the geometry of the glycosidic linkage.,كما أنها تتفاوت في هندسة الربط الغليكوسيديكي.
" The group was renamed Justice for Kashmir, then renamed People's Justice Party.",وقد أعيدت تسمية هذه المجموعة لتصبح منظمة العدالة في كشمير، ثم أعيدت تسميتها باسم حزب العدالة الشعبية.
 They are known to be loud and loud louder than standard hub motor fans.,ومن المعروف أن صوتها عالٍ وصوتها أعلى من صوت المعجبين بالسائقين الأساسيين.
 Shops of various offerings and items are also set up for people to buy.,كما يتم أيضاً إعداد قطع من مختلف العروض والأصناف ليشتريها الناس.
" At the time, May and Ernest Eilind were living apart.",وفي ذلك الوقت، كان ماي وإرنست إيليند يعيشان منفصلين.
 The district government originally opposed the construction of the museum.,الحكومة المحلية في الأصل عارضت بناء المتحف.
 His son was taken by one of his ministers and hidden.,واختطف أحد رجاله ابنه وخبأه.
" Prior to incorporation, the town was known as Blaisdell Town.",وقبل التأسيس، كانت البلدة تعرف باسم بلدة بلايسديل.
 The Kata Center also collaborates with other public and private organizations,ويتعاون مركز كاتا أيضاً مع منظمات أخرى من القطاعين العام والخاص
 This is a very simple model of how whole conduction works.,هذا نموذج بسيط جداً لكيفية عمل التوصيل الكامل.
 The process of induction relies entirely on members proposing new members.,وتعتمد عملية التوجيه بشكل كامل على الأعضاء الذين يقترحون أعضاء جددا.
 Macroecology approaches the idea of studying ecosystems using a top-down approach.,ويعالج علم الماكروليكولوجيا فكرة دراسة النظم الإيكولوجية باستخدام نهج من القمة إلى القاعدة.
 She wraps the baby in a shawl and leaves the house.,تَلْفُّ الطفل الرضيعَ في a شال ويَتْركُ البيتَ.
" In addition, many can, in theory, support an unlimited number of species.",وبالإضافة إلى ذلك، يمكن للكثيرين، من الناحية النظرية، أن يدعموا عددا غير محدود من الأنواع.
" Watch on your joke, iPhone news, I can't.",راقبي نكتتك، أخبار (آي فون)، لا أستطيع.
 To the east of the hills found an Iron Age earthwork.,إلى الشرق من التلال وجدت عصر الحديد عمل أرضي.
 A nighttime version of concentration took over its time slot the following week.,واستحوذت نسخة ليلية من التركيز على وقته في الأسبوع التالي.
 Sen remained with the club for another season.,بقي (سين) مع النادي لموسم آخر
" In each case, the adaptation was scripted by Binder and drawn by Joe Orlando.",وفي كل حالة، قام بيندر بصياغة التعديل وقام جو أورلاندو بسحبه.
 The dog jumped for joy at the sight of her owner.,قفز الكلب من أجل الفرح عند منظر صاحبها.
 His younger brother Arl trained as an ophthalmologist.,شقيقه الأصغر (آرل) تدرب كطبيب في طب العيون.
 The upper house is the senate.,مجلس الشيوخ هو مجلس الشيوخ.
" The Japanese bombing raids were also fiercely contested, sometimes with significant Japanese losses.",كما كانت غارات القصف اليابانية متنازعاً عليها بشدة، مع وقوع خسائر يابانية كبيرة في بعض الأحيان.
" As the family argues, Lucy slips out unnoticed, unsure of her future.",كما تجادل العائلة، (لوسي) تفلت من دون أن تلاحظ، غير واثقة من مستقبلها.
" It is brown and green algae, the water plant, and the substrate is overgrown.",إنها طحالب بنيّة وخضراء، نبات الماء، والتربة التحتية تتراكم أكثر من اللازم.
 Bacteria probably have the largest capacity to utilize amino acids.,ومن المحتمل أن تكون البكتيريا لديها القدرة الأكبر على استخدام الأحماض الأمينية.
 She has also played for the Los Angeles Temptation in the Legends Football League.,"كما أنها لعبت أيضاً في مسابقات ""لوس أنجلوس"" في دوري الأساطير لكرة القدم."
 He achieved the rank of Colonel and died in London.,حصل على رتبة العقيد ومات في لندن.
 But the bride is nowhere to be found.,لكن العروس لا يمكن العثور عليها في أي مكان
 These do not require a marriage license.,وهذه لا تتطلب ترخيص زواج.
 He was especially interested in Middle Eastern history and the Jewish remarks.,وكان مهتما بصفة خاصة بتاريخ الشرق الأوسط والملاحظات اليهودية.
" Likewise, others also feature one stone.",وَكَيْفَ يُمْكِنُنَا أَنْ نُحَافِظَ عَلَى ٱلْمَسِيحِيِّينَ ٱلْمَسِيحِيِّينَ ؟
" Bye then, strike forward.",ثمّ، يَضْربُ للأمام.
" Within each queue, packets are forwarded based on first-in-first-out basis.",وفي داخل كل طابور، تُحال الحزم على أساس أساس أول في أول خروج.
 Some of the suspects in the shooting are still at large.,ولا يزال بعض المشتبه فيهم في إطلاق النار مطلقي السراح.
 IAB completed the occupation of Rewin land by capturing Hadar in the Bakul region.,وأتمت البعثة احتلال أرض ريوين عن طريق الاستيلاء على حدار في منطقة باكول.
 It was located in the city of Edmonton in the province of Alberta.,تقع في مدينة إدمونتون في محافظة ألبرتا.
" He died in Tampa, Florida and was buried in the Roseland Cemetery of Monticello.",توفي في تامبا، فلوريدا ودفن في مقبرة روزلاند في مونتيسيلو.
 He later played for Old Han.,ولعب لاحقاً لـ (أولد هان)
" Not all cyclists were competing for the victory, some only joined as tourists.",لم يكن كل راكبي الدراجات يتنافسون على النصر بل انضم بعضهم فقط كسياح
 Then the columns are permitted and then the rows are permitted.,ثم تكون الأعمدة مسموحاً بها ومن ثم تكون الصفات مسموحاً بها.
" My Google's research has also included computer architecture, computer security, and hardware software code design.",وشملت أبحاث جوجل أيضاً هندسة الحاسوب، وأمن الحاسوب، وتصميم رموز برامجيات المعدات.
 The theory of buildings has important obligations in several rather disparate fields.,وتنطوي نظرية المباني على التزامات هامة في عدة مجالات متباينة إلى حد ما.
 Rabal is reported to donate all proceeds from the book to charity.,وتفيد التقارير بأن رابال يتبرع بجميع عائدات الكتاب إلى الأعمال الخيرية.
 The judge are not given any brand information.,ولا يحصل القاضي على أي معلومات تجارية.
" Born in Chicago, Illinois, Thomas grew up in Pittsburgh, Pennsylvania.",ولد في شيكاغو، إلينوي، نشأ توماس في بيتسبرغ، بنسلفانيا.
" She divorced to Garson, whom she married in London, to Mary Bear.",تطلقت من (غارسون) الذي تزوجته في (لندن) إلى (ماري بير)
 Large amounts of animal habitat was destroyed.,ودُمرت كميات كبيرة من موائل الحيوانات.
 The museum will sit on and has been given a building.,المتحف سيجلس عليه وقد منح مبنى.
 The remaining plays of the Tetralogy have been mostly lost.,والمسرحيات المتبقية من Tetraology قد فقدت في الغالب.
" The album also peaked at number 6 in Germany, but was certified gold there.",وصل الألبوم أيضاً إلى ذروته في رقم 6 في ألمانيا، لكنه كان مصدقاً على الذهب هناك.
 The cartridge is intended for a large and dangerous game.,الخرطوشة مخصصة للعبة كبيرة وخطيرة
 This was achieved due to the steadfast dedication of Doig and Jafari.,وقد تحقق ذلك بفضل تفاني دويغ وجفاري.
 The game was released under different titles in each region.,تم إطلاق اللعبة تحت عناوين مختلفة في كل منطقة.
 Byrne attended the Baltimore City College High School and Wake Forest College.,حضر (بيرن) مدرسة (بالتيمور سيتي) الثانوية وكلية (ويك فورست)
 The district is located in the middle part of the Black Forest Mountains.,تقع المقاطعة في الجزء الأوسط من جبال الغابات السوداء.
" He has two daughters, Lexi and Maya.",لديه ابنتان، ليكسي ومايا.
 Sharp contrast in the edges of the letters are also featured throughout his artwork.,كما يظهر التباين الحاد في حواف الحروف في كل أعماله الفنية.
 This virtually guaranteed a death sentence.,وهذا يضمن عملياً حكماً بالإعدام.
 He was educated at an Anglican school and was apprenticed as a cabinet maker.,وقد تلقى تعليمه في مدرسة انجليكانية وتدرب كصانع وزارة.
 Tatars were also deported from Crimea.,وتم أيضا ترحيل التتار من شبه جزيرة القرم.
 He was the father of Norazin and Yoritsun.,(كان والد (نورازين) و (يوريتسون
 He is married to Kristen Gore.,وهو متزوج من كريستين غور.
 Victoria won the inaugural event.,فازت فيكتوريا في الحدث الافتتاحي.
 He colored the box in with diagonal stripes.,لقد لوّن الصندوق بخطوط مائلة
 His brother Justin also played basketball at Boulder Creek High School.,كما لعب شقيقه جوستن كرة السلة في مدرسة بولدر كريك الثانوية.
 We are hosting some new events from now.,نحن نستضيف بعض الأحداث الجديدة من الآن
 His dad was heartbroken.,والده كان حزيناً جداً
 Most of these families come from Goose Creek Township.,ويأتي معظم هذه الأسر من بلدة غوس كريك.
 The former City Hall is now the North York Civic Center.,قاعة المدينة السابقة هي الآن مركز نورث يورك المدني.
 Solidarity was also declared a legal organization.,وأُعلن أيضا أن التضامن منظمة قانونية.
 McDonald's announced they were looking into possible copyright infringement of the name.,(ماكدونالدز) أعلنوا أنهم كانوا يبحثون في إمكانية انتهاك حقوق التأليف للاسم
 It was originally recorded by LaFace Records artist Sam Salter.,تم تسجيلها في الأصل من قبل LaFace السجلات الفنان سام سالتر.
 Vectored Vaccines is another next generation vaccine.,واللقاحات الموجهة هي لقاح آخر من الجيل القادم.
 Subsequent withdrawals by Chinese skaters were also replaced by Italian skaters.,كما استبدل المتزلجون الإيطاليون عمليات السحب اللاحقة التي قام بها المتزلجون الصينيون.
 He has contributed importantly to the history and origin of the modern Malay language.,وقد ساهم بشكل هام في تاريخ وأصل اللغة المالاوية الحديثة.
 Surrounding villages are copy Thorn to the northeast and Bartley to the southeast.,"القرى المحيطة تُنسخ من ""ثورن"" إلى الشمال الشرقي و ""بارتلي"" إلى الجنوب الشرقي."
 He arrived in the town immediately after its capture by the Royal Serbian army.,ووصل إلى المدينة مباشرة بعد أن استولى عليها الجيش الملكي الصربي.
 It is the county seat of Trimble County.,مقاطعة تريمبل هي منطقة سكنية تقع في الولايات المتحدة في Trimble County.
 From those we then tried to get a contradiction.,من أولئك الذين حاولنا بعد ذلك للحصول على تناقض.
 He may be regarded as one of the founders of petrographical science.,ويمكن اعتباره واحداً من مؤسسي العلوم الأبطرغرافية.
 Users can then use content filtering software to censor various types of content.,ويمكن للمستعملين عندئذ استخدام برامجيات تنقية المحتوى لفرض رقابة على مختلف أنواع المحتوى.
 This can be shown by assigning two distinct numerical values to the dichotomous variable.,وهذا يمكن أن يُظهر عن طريق تحديد قيمتين عدديتين منفصلتين للمتغير الثنائي.
 It is the headquarters of Thunderland City Council.,إنه مقر مجلس مدينة (ساندلاند)
 Its seat is located in the town of Mora.,يقع مقرها في بلدة مورا.
" Doc lives in St. Clair, Michigan with his wife, Joyce.",يعيش (دوك) في (سانت كلير)، (ميشيغان) مع زوجته (جويس).
 The Allen area was previously home to the Caddo Comanche and other indigenous peoples.,وكانت منطقة ألين سابقاً موطناً لكادو كومانشي وغيره من الشعوب الأصلية.
 when quinn mentioned that he was drawn to acting wright encouraged him,عندما ذكر كوين أنه كان منجذباً إلى التصرف شجعه
 He later would invite Adam Lazara to join the band.,وفي وقت لاحق دعا آدم لازارا للانضمام إلى الفرقة.
 The following is the Serbia roster in the Olympic qualifying tournament.,فيما يلي قائمة صربيا في بطولة التأهيل الأولمبية.
 Subscribers received a disk with the scenario files already created.,الـ a قرص مع افتراضي ملفات.
 Finus Ockham and Scotus wrote commentaries on On Interpretation.,كتب فوينوس أوكهام وسكوتوس تعليقات على الترجمة الشفوية.
" However, Thornley severed his connection with Better Place only three months later.",لكنّ ثورنلي قطع علاقته مع بيت بلين بعد ثلاثة اشهر فقط.
 Applicants must have resided in the country for five years.,ويجب أن يكون المتقدمون قد أقاموا في البلد لمدة خمس سنوات.
" Under the current system, supervisors are elected by district to four-year terms.",وبموجب النظام الحالي، يُنتخب المشرفون حسب المقاطعة لمدة أربع سنوات.
 The same principle is taken to an extreme in I-beams.,ويؤخذ نفس المبدأ إلى حد أقصى في الآي-بايمز.
" In Germanic mythology, Eilren is the wife of Agilaz, the legendary archer.",في الاساطير الجرمانية ، ايلرن هي زوجة أڠيلاز ، المرسا الاسطوري.
 He regularly visited Krause for advice.,وكان يزور كروس بانتظام للحصول على المشورة.
" Thus, Maximin in the original position represents a formulation of social equality.","وهكذا، فإن "" ماكسيمين "" في الوضع الأصلي يمثل صياغة للمساواة الاجتماعية."
 He was a property consultant with a real estate firm before entering politics.,كان مستشاراً عقارياً مع شركة عقارات قبل الدخول في السياسة
 The latter became the costliest hurricane in Maine's history.,وأصبح هذا الأخير أكثر الأعاصير تكلفة في تاريخ ماين.
 Production has many functions and diversity is the foundation of such production.,وللإنتاج العديد من الوظائف، والتنوع هو أساس هذا الإنتاج.
 It is an Eastern Iranian language belonging to the Indo-European family.,وهي لغة إيرانية شرقية تنتمي إلى الأسرة الهندية الأوروبية.
 Some would say progressive rock at its best.,البعض سيقول صخرة تقدمية في أفضل حالاتها
 This is perhaps a mitigation of an older sentence of death by drowning.,وربما يكون هذا تخفيفا لحكم الإعدام بالغرق الذي طال أمده.
 The village is served by Gilfok Fargoed Railway Station.,وتخدم القرية محطة سكة حديد جيلفوك فارغود.
 McCall has pioneered cancer immunotherapies for children.,(ماك كال) كان رائداً في علاج السرطان المناعي للأطفال
 An outspoken girl who was mistreated by Neil.,فتاة مهذبة تم معاملتها من قبل (نيل)
 They found the answer to be in the affirmative.,ووجدوا أن الإجابة هي بالإيجاب.
" In American football, midfield refers to the halfway line.",في كرة القدم الأمريكية، يشير منتصف الملعب إلى خط منتصف الطريق.
 Saudi Arabia entered one Karateka into the inaugural Olympic tournament.,دخلت المملكة العربية السعودية واحدة كاراتكا في البطولة الأولمبية الافتتاحية.
" By measuring the diameter of the ring, its total age could be estimated.",وبقياس قطر الحلقة، يمكن تقدير سنها الإجمالي.
 Kerner was particularly active in the fields of phytogeography and phytosociology.,وينشط كيرنر بصفة خاصة في مجالي علم البُطْن وعلم علم الأحياء وعلم الاحياء النباتية.
 The National Assembly has the power to remove government ministers from their post.,وتتمتع الجمعية الوطنية بسلطة عزل وزراء الحكومة من مناصبهم.
 The board appealed the decision to the Supreme Court.,واستأنف المجلس القرار أمام المحكمة العليا.
 The city of Medford lies mostly within the town boundaries.,تقع مدينة ميدفورد في الغالب داخل حدود المدينة.
 Movie Guide rates movies for both quality and acceptability.,"""الأفلام المصوّرة تُصنّف أفلاماً للنوعية والمقبولية على حدّ سواء."""
 Whitewash is based on the same chemistry.,الإحتيال الأبيض مبني على نفس الكيمياء
 It merged with Cleveland scene.,لقد اندمجت مع مسرح كليفلاند
 The associated steam raising plant and hydraulic pumps have been removed.,وقد أزيلت محطة رفع البخار ذات الصلة والمضخات الهيدروليكية.
" In the jungle, Lyra is affected by the deadly disease and shortly dies.",في الأدغال، تتأثر (لييرا) بالمرض المميت و ستموت قريباً.
" Miriam read also, obliterating herself.",(ميرام) تقرأ أيضاً، تُطمس نفسها.
