English,Arabic
"In autumn that year, she made a solo tour with her band in Switzerland.","في خريف ذلك العام، قامت بجولة فردية مع فرقتها في سويسرا."
"The building houses, classrooms, toilets, showers, and a staff room.","يحتوي المبنى على فصول دراسية، مراحيض، حمامات، وغرفة موظفين."
She was nicknamed Long Liz.,كانت تُلقب بـ 'لونغ ليز'.
"The winners of each pairing, higher than bold, qualify for the following round.","الفائزون من كل ثنائي، أعلى من الجرأة، يتأهلون للجولة التالية."
Many families have moved into these houses.,انتقلت العديد من العائلات إلى هذه المنازل.
Fitchell seems likely to have been played with equal numbers on both sides.,يبدو أن لعبة فيتشل كانت تُلعب بأعداد متساوية على كلا الجانبين.
Air Academy has received national acclaim for its numerous instrumental ensembles.,حازت أكاديمية الطيران على إشادة وطنية بفضل فرقها الموسيقية العديدة.
Call the Doctor was written in three weeks and recorded in four days.,تم كتابة 'اتصل بالطبيب' في ثلاثة أسابيع وتم تسجيله في أربعة أيام.
He retired from basketball after the season.,اعتزل كرة السلة بعد الموسم.
"For more details on geological crystal formation, see above.","للمزيد من التفاصيل حول تكوين البلورات الجيولوجية، انظر أعلاه."
This document shows that the Catholic Church is officially moved to unity.,يوضح هذا المستند أن الكنيسة الكاثوليكية انتقلت رسميًا إلى الوحدة.
The marriage resulted in a rift between mother and son.,الزواج أدى إلى شقاق بين الأم والابن.
Billshare often structures its investment mandates to meet specific objectives.,غالباً ما تنظم Billshare تفويضات استثمارها لتحقيق أهداف محددة.
Its supports had to be attached to the Mensa.,كان لا بد من تثبيت دعائمه على منصة Mensa.
Fuel was delivered via multiport fuel injection.,تم توصيل الوقود عبر حقن الوقود متعدد المنافذ.
No tree may be felled on the holy ground.,لا يجوز قطع أي شجرة على الأرض المقدسة.
"Despite the movement of the Ferd Mines, fighting continued throughout the country.","على الرغم من تحرك مناجم فرد، استمر القتال في جميع أنحاء البلاد."
Mr. Mallory was hit by a car on his way to work.,تعرض السيد مالوري للدهس بسيارة في طريقه إلى العمل.
It is not thus used in England.,لا يُستخدم بهذه الطريقة في إنجلترا.
Mach-Eldalon production was a result of correcting a dislike of symmetry.,إنتاج Mach-Eldalon كان نتيجة تصحيح كراهية التماثل.
Carlson High School's mascot is the senator.,تميمة مدرسة كارلسون الثانوية هي السيناتور.
Transport network analysis falls within the field of transport engineering.,تحليل شبكات النقل يندرج ضمن مجال هندسة النقل.
I will review some of the notable developments in the economy and financial system.,سأستعرض بعض التطورات البارزة في الاقتصاد والنظام المالي.
Trent manages to secure a small fighter and departs for Severa.,يتمكن ترينت من تأمين مقاتل صغير وينطلق إلى سيفيرا.
People always back up in small country lanes to let you pass.,الناس دائماً يتراجعون في الممرات الريفية الصغيرة للسماح لك بالمرور.
The ancients were also called sorers for their common appearance in the air.,كان القدماء يُطلق عليهم أيضاً 'sorers' لظهورهم الشائع في الهواء.
This will lead to a more active participation from the patient side.,سيؤدي هذا إلى مشاركة أكثر نشاطاً من جانب المريض.
Types with two or three sets of guide cathodes could count in either direction.,الأنواع ذات مجموعتين أو ثلاث من الكاثودات الإرشادية يمكن أن تعد في أي اتجاه.
"In Britain, the earliest records of this surname appear mainly in the West Country.","في بريطانيا، تظهر أقدم السجلات لهذا اللقب بشكل رئيسي في منطقة West Country."
This remarkable discovery was unprecedented at the time.,كان هذا الاكتشاف الرائع غير مسبوق في ذلك الوقت.
Telescopes with apertures of or larger are needed to distinguish structures in the galaxy.,تحتاج التلسكوبات ذات الفتحات الكبيرة إلى تمييز الهياكل في المجرة.
It was named Christmas Fairyland.,تمت تسميته أرض العجائب في عيد الميلاد.
The single storage shed contains blocked arches.,يحتوي المخزن الوحيد على أقواس مسدودة.
It is hosted by Anne-Marie Mediwake and Ben Moroni.,تستضيفه آن-ماري ميديويك وبن موروني.
"Caledonian decided to apply for membership, as did city rivals Inverness Thistle.","قرر كالدونيان التقدم للحصول على العضوية، وكذلك فعل منافسوه في المدينة إينفيرنيس ثيستل."
"The longer lines have four accents, and the shorter ones usually only three.","الخطوط الأطول تحتوي على أربع لهجات، وعادة ما تحتوي الأقصر على ثلاث لهجات فقط."
This higher level is associated with strong individual approaches to problem solving and creativity.,يرتبط هذا المستوى الأعلى بأساليب فردية قوية في حل المشكلات والإبداع.
The ending also implies that her strength exceeded Karen's.,يشير النهاية أيضًا إلى أن قوتها تفوقت على قوة كارين.
The village is open each weekend from May to the end of September.,القرية مفتوحة كل عطلة نهاية أسبوع من مايو حتى نهاية سبتمبر.
Videographers use nonlinear editing software on home computers.,يستخدم المصورون برامج تحرير غير خطية على أجهزة الكمبيوتر المنزلية.
This is a close-up view of the main character currently being played.,هذه لقطة مقرّبة للشخصية الرئيسية التي يتم تمثيلها حالياً.
This institution is a prestigious university in Brazil.,هذه المؤسسة جامعة مرموقة في البرازيل.
The Matilda Tower at Point Clay has been converted into a war museum.,تم تحويل برج ماتيلدا في بوينت كلاي إلى متحف حرب.
"Shortly after he signed, the Alouettes folded and the franchise began the Montreal Concords.","بعد فترة وجيزة من توقيعه، انهار فريق ألويتيز وبدأت الامتيازات مع مونتريال كونكوردز."
Vautour is the French word for vulture.,كلمة فوتر تعني نسر باللغة الفرنسية.
He published his earliest works for the cello.,نشر أول أعماله على آلة التشيلو.
"First, there is not one standard transcription in use even for standard Arabic.","أولاً، لا يوجد نسخ موحد مستخدم حتى بالنسبة للعربية الفصحى."
Redmond helicopter arrives on the scene with a film for everyone to watch.,وصلت طائرة هليكوبتر ريدموند إلى الموقع بفيلم ليشاهده الجميع.
"However, not merely is there no record of the wedding.","ومع ذلك، لا يوجد سجل لحفل الزفاف."
The Center does not award graduate degrees.,المركز لا يمنح درجات الدراسات العليا.
"Traffic is really bad today, probably because it's a free day weekend.","حركة المرور سيئة للغاية اليوم، ربما لأنه عطلة نهاية أسبوع مجانية."
Diagnosis is made by Biomicroscopic Examination in the Clinic.,يتم التشخيص من خلال الفحص البيوميكروسكوبي في العيادة.
Trunking also refers to the connection of switches and circuits within a telephone exchange.,يشير الترحيل أيضًا إلى توصيل المفاتيح والدوائر داخل التبادل الهاتفي.
"Like most of the Batman family, Stephanie Brown has no superhuman powers.","مثل معظم أفراد عائلة باتمان، لا تمتلك ستيفاني براون قوى خارقة."
Andrew leads a revolt and takes a council member hostage.,أندرو يقود تمرداً ويأخذ أحد أعضاء المجلس كرهينة.
He suddenly goes into convulsions himself and soon transforms into an alien creature himself.,يدخل فجأة في تشنجات ثم يتحول إلى مخلوق فضائي.
Liberia then liquidated the property of German nationals in Liberia.,ثم قامت ليبيريا بتصفية ممتلكات الألمان في ليبيريا.
"Despite hard work and rough seas, the ships only found one mine.","على الرغم من العمل الجاد والبحار العاصفة، لم تجد السفن سوى لغم واحد."
The local council has made concurrent improvement to the surrounding area.,قام المجلس المحلي بتحسينات متزامنة على المنطقة المحيطة.
Our argument may be briefly indicated in advance as follows.,يمكن الإشارة إلى حجتنا بشكل موجز على النحو التالي.
Guinea's World Records considers it a production motorcycle.,تعتبر سجلات غينيس العالمية أنها دراجة نارية إنتاجية.
Harmonic functions are the classical example to which the strong maximum principle applies.,الوظائف التوافقية هي المثال الكلاسيكي الذي ينطبق عليه مبدأ الحد الأقصى القوي.
He also wrote an empire of dust about the dust bowl.,كما كتب عن الإمبراطورية الغبارية حول منطقة غبار الحوض.
"However, month by month breakdowns for domestic sales of individual car models are available.","ومع ذلك، تتوفر تفصيلات شهرية لمبيعات النماذج الفردية من السيارات المحلية."
"However, it isn't at all about itself geographically.","ومع ذلك، فإن الأمر ليس جغرافيًا على الإطلاق."
It has now ended its third season.,لقد انتهى الآن من موسمه الثالث.
The executive wing is headed by the Commissioner.,يرأس الجناح التنفيذي المفوض.
Then one gives rigorous mathematical constructions of examples satisfying these axioms.,ثم يقدم المرء تراكيب رياضية صارمة لأمثلة تلبي هذه البديهيات.
"The Devonport Leet, a man-made water channel, passes nearby.","يمر قريباً ليت ديفونبورت، وهو قناة مائية من صنع الإنسان."
The Ithaca Journal produces a youth-oriented tabloid-sized publication called Buzz every week.,ينتج جريدة إيثاكا منشورًا بحجم تابلويد موجهًا للشباب يسمى Buzz كل أسبوع.
It is one of the thinnest steel and concrete towers in the world.,إنه واحد من أرق أبراج الفولاذ والخرسانة في العالم.
"As a teenager in St. Louis, Missouri, he played with Charlie Creith.","عندما كان مراهقاً في سانت لويس، ميزوري، لعب مع تشارلي كريث."
Graduates of the school are prepared to pursue an artistic and theatrical occupation.,خريجو المدرسة مستعدون لمتابعة مهنة فنية ومسرحية.
"In contrast, the backwash is dominated by the sheet flow and bed load sediment transport.","على النقيض من ذلك، يسيطر على التدفق العكسي تدفق الصفائح ونقل رواسب قاع النهر."
Silo is served by Silo High School.,تخدم سيليو مدرسة سيليو الثانوية.
The drug is administered for 7 to 10 days.,يُعطى الدواء لمدة تتراوح بين 7 إلى 10 أيام.
The gardens are open to the public daily.,الحدائق مفتوحة للجمهور يومياً.
Defines the genre.,يُعرّف هذا النوع.
"Therefore, the defendants prevailed and did not have to pay.",لذلك انتصر المتهمون ولم يضطروا للدفع.
A local woodcutter discovered a stream that ran with fine sake.,اكتشف حطاب محلي جدولاً يجري بمشروب الساكي الفاخر.
Katronis was named by Homer.,تم تسمية كاترونيس من قبل هوميروس.
Women competed in the steeplechase for the first time.,تنافست النساء في سباق الحواجز للمرة الأولى.
"Poyakov underwent many car accidents before, during and after the flight.",تعرض بويكوف للعديد من حوادث السيارات قبل وأثناء وبعد الرحلة.
A terrorist group called Kryon Lions take control of the space-based laser weapon.,تسيطر مجموعة إرهابية تدعى أسود كريون على سلاح الليزر الفضائي.
They got engaged at Comate George Lodge in Muntumalanga.,خطبا في نزل كوميت جورج في مونتومالانغا.
"Until his death, Bettelheim lived in Paris.",عاش بيتلهايم في باريس حتى وفاته.
Rain and wind also cause temporal variation to the phyllosphere microbiome.,يتسبب المطر والرياح أيضًا في تغيرات زمنية في ميكروبيوم الأوراق.
Castles went on to investigate the Lhasa outbreaks in West Africa.,واصلت كاستلز التحقيق في تفشي مرض لهاسا في غرب أفريقيا.
He took part in the American War of Independence.,شارك في حرب الاستقلال الأمريكية.
They had spent them previous three years in a refugee camp in Sudan.,قضوا السنوات الثلاث السابقة في مخيم للاجئين في السودان.
She continues to perform regularly at live venues and appears on television and radio.,تواصل الأداء بانتظام في الأماكن الحية وتظهر على التلفزيون والراديو.
He was on the post-season roster where he made one appearance without an at-bat.,كان على قائمة ما بعد الموسم حيث ظهر مرة واحدة دون ضرب.
These interactions are joined with other roads.,تنضم هذه التفاعلات مع طرق أخرى.
His older brother was film school composer James Horner.,كان شقيقه الأكبر مؤلف الموسيقى لمدرسة الأفلام جيمس هورنر.
The third test was washed out after only three hours play.,تم إلغاء الاختبار الثالث بعد ثلاث ساعات فقط من اللعب.
Six to eight pairs of nerves are formed.,يتشكل ستة إلى ثمانية أزواج من الأعصاب.
"Consequently, there are also two types of oats.","نتيجة لذلك، هناك نوعان من الشوفان."
They also vary in the geometry of the glycosidic linkage.,كما تختلف في هندسة الروابط الجليكوسيدية.
"The group was renamed Justice for Kashmir, then renamed People's Justice Party.","تمت إعادة تسمية المجموعة إلى العدالة لكشمير، ثم أعيدت تسميتها حزب العدالة الشعبي."
They are known to be loud and loud louder than standard hub motor fans.,من المعروف أنها صاخبة وصاخبة أكثر من مراوح المحركات القياسية.
Shops of various offerings and items are also set up for people to buy.,تُقام أيضًا متاجر تعرض بضائع مختلفة ليشتريها الناس.
"At the time, May and Ernest Eilind were living apart.","في ذلك الوقت، كان ماي وإرنست إيليند يعيشان منفصلين."
The district government originally opposed the construction of the museum.,"في البداية، عارضت الحكومة المحلية بناء المتحف."
His son was taken by one of his ministers and hidden.,أخذ أحد وزرائه ابنه وأخفاه.
"Prior to incorporation, the town was known as Blaisdell Town.","قبل الدمج، كانت المدينة تُعرف باسم بلايزديل تاون."
The Kata Center also collaborates with other public and private organizations.,يتعاون مركز كاتا أيضًا مع منظمات عامة وخاصة أخرى.
This is a very simple model of how whole conduction works.,هذا نموذج بسيط للغاية لكيفية عمل التوصيل الكامل.
The process of induction relies entirely on members proposing new members.,تعتمد عملية التحريض بالكامل على اقتراح الأعضاء لأعضاء جدد.
Macroecology approaches the idea of studying ecosystems using a top-down approach.,تتناول البيئية الكلية فكرة دراسة النظم البيئية باستخدام نهج من الأعلى إلى الأسفل.
She wraps the baby in a shawl and leaves the house.,تلف الطفل في شال وتغادر المنزل.
"In addition, many can, in theory, support an unlimited number of species.","بالإضافة إلى ذلك، يمكن، نظرياً، دعم عدد غير محدود من الأنواع."
"Watch on your joke, iPhone news, I can't.","راقب نكتتك، أخبار الآيفون، لا أستطيع."
To the east of the hills found an Iron Age earthwork.,إلى الشرق من التلال عُثر على منشأة من العصر الحديدي.
A nighttime version of concentration took over its time slot the following week.,استحوذ إصدار ليلي من برنامج التركيز على فترته الزمنية في الأسبوع التالي.
Sen remained with the club for another season.,بقي سين مع النادي لموسم آخر.
"In each case, the adaptation was scripted by Binder and drawn by Joe Orlando.","في كل حالة، كتب النص بوندر ورسمه جو أورلاندو."
The dog jumped for joy at the sight of her owner.,قفز الكلب فرحاً عند رؤية صاحبته.
His younger brother Arl trained as an ophthalmologist.,تدرب شقيقه الأصغر آرل كطبيب عيون.
The upper house is the senate.,المجلس الأعلى هو مجلس الشيوخ.
"The Japanese bombing raids were also fiercely contested, sometimes with significant Japanese losses.","تمت معارضة الغارات الجوية اليابانية بشراسة، أحيانًا بخسائر كبيرة لليابانيين."
"As the family argues, Lucy slips out unnoticed, unsure of her future.","بينما تجادل العائلة، تنسل لوسي دون أن يلاحظها أحد، غير متأكدة من مستقبلها."
"It is brown and green algae, the water plant, and the substrate is overgrown.","إنه طحلب بني وأخضر، النبات المائي، والطبقة التحتية مغطاة."
Bacteria probably have the largest capacity to utilize amino acids.,من المحتمل أن تمتلك البكتيريا أكبر قدرة على استخدام الأحماض الأمينية.
She has also played for the Los Angeles Temptation in the Legends Football League.,كما لعبت لفريق لوس أنجلوس تمتيشن في دوري أساطير كرة القدم.
He achieved the rank of Colonel and died in London.,وصل إلى رتبة عقيد وتوفي في لندن.
But the bride is nowhere to be found.,لكن العروس ليست في أي مكان.
These do not require a marriage license.,هذه لا تتطلب رخصة زواج.
He was especially interested in Middle Eastern history and the Jewish remarks.,كان مهتمًا بشكل خاص بتاريخ الشرق الأوسط والتعليقات اليهودية.
"Likewise, others also feature one stone.","وبالمثل، تحتوي بعض الأشياء الأخرى أيضًا على حجر واحد."
"Bye then, strike forward.","إذن وداعًا، اندفع للأمام."
"Within each queue, packets are forwarded based on first-in-first-out basis.","داخل كل قائمة انتظار، يتم تمرير الحزم بناءً على مبدأ الأول في الدخول، الأول في الخروج."
Some of the suspects in the shooting are still at large.,بعض المشتبه بهم في حادث إطلاق النار ما زالوا طلقاء.
IAB completed the occupation of Rewin land by capturing Hadar in the Bakul region.,أكمل الـ IAB احتلال أرض روين بالاستيلاء على حدير في منطقة باكول.
It was located in the city of Edmonton in the province of Alberta.,كان يقع في مدينة إدمونتون في مقاطعة ألبرتا.
"He died in Tampa, Florida and was buried in the Roseland Cemetery of Monticello.","توفي في تامبا، فلوريدا ودفن في مقبرة روزلاند في مونتيتشيللو."
He later played for Old Han.,لعب لاحقًا لفريق أول هان.
"Not all cyclists were competing for the victory, some only joined as tourists.","لم يكن جميع الدراجين يتنافسون من أجل النصر، انضم البعض فقط كسياح."
Then the columns are permitted and then the rows are permitted.,ثم يُسمح للأعمدة وبعد ذلك تُسمح للصفوف.
"My Google's research has also included computer architecture, computer security, and hardware software code design.","تضمن بحثي في Google أيضًا هندسة الكمبيوتر، وأمان الكمبيوتر، وتصميم برمجيات الأجهزة."
The theory of buildings has important obligations in several rather disparate fields.,للنظرية المعمارية التزامات مهمة في عدة مجالات متباينة.
Rabal is reported to donate all proceeds from the book to charity.,يُقال إن رابل يتبرع بجميع عائدات الكتاب للأعمال الخيرية.
The judge are not given any brand information.,لم تُعطَ القاضية أي معلومات عن العلامة التجارية.
"Born in Chicago, Illinois, Thomas grew up in Pittsburgh, Pennsylvania.","وُلد توماس في شيكاغو، إلينوي، ونشأ في بيتسبرغ، بنسلفانيا."
"She divorced to Garson, whom she married in London, to Mary Bear.","طلقت غارسون، الذي تزوجته في لندن، إلى ماري بير."
Large amounts of animal habitat was destroyed.,تم تدمير كميات كبيرة من موطن الحيوانات.
The museum will sit on and has been given a building.,سيتم بناء المتحف على قطعة أرض وقد تم تخصيص مبنى له.
The remaining plays of the Tetralogy have been mostly lost.,فقدت معظم المسرحيات المتبقية من الرباعية.
"The album also peaked at number 6 in Germany, but was certified gold there.","وصل الألبوم أيضًا إلى المرتبة السادسة في ألمانيا، ولكنه حصل على شهادة ذهبية هناك."
The cartridge is intended for a large and dangerous game.,تم تصميم الخرطوشة لصيد الألعاب الكبيرة والخطيرة.
This was achieved due to the steadfast dedication of Doig and Jafari.,تم تحقيق ذلك بفضل الإخلاص الثابت لدويغ وجعفري.
The game was released under different titles in each region.,صدر اللعبة تحت أسماء مختلفة في كل منطقة.
Byrne attended the Baltimore City College High School and Wake Forest College.,درس بيرن في مدرسة بالتيمور سيتي كوليدج الثانوية وكلية ويك فورست.
The district is located in the middle part of the Black Forest Mountains.,تقع المنطقة في الجزء الأوسط من جبال الغابة السوداء.
"He has two daughters, Lexi and Maya.","لديه ابنتان، ليكسي ومايا."
Sharp contrast in the edges of the letters are also featured throughout his artwork.,تظهر تباينات حادة في حواف الحروف أيضًا في جميع أعماله الفنية.
This virtually guaranteed a death sentence.,كان هذا يضمن فعليًا حكم الإعدام.
He was educated at an Anglican school and was apprenticed as a cabinet maker.,تعلم في مدرسة أنجليكانية وتدرب كصانع أثاث.
Tatars were also deported from Crimea.,تم ترحيل التتار أيضًا من القرم.
He was the father of Norazin and Yoritsun.,كان والد نورازين ويوريتسون.
He is married to Kristen Gore.,هو متزوج من كريستين جور.
Victoria won the inaugural event.,فازت فيكتوريا بالحدث الافتتاحي.
He colored the box in with diagonal stripes.,قام بتلوين الصندوق بخطوط مائلة.
His brother Justin also played basketball at Boulder Creek High School.,لعب شقيقه جاستين أيضًا كرة السلة في مدرسة بولدر كريك الثانوية.
We are hosting some new events from now.,نحن نستضيف بعض الأحداث الجديدة من الآن فصاعدًا.
His dad was heartbroken.,كان والده محطّم القلب.
Most of these families come from Goose Creek Township.,معظم هذه العائلات تأتي من بلدية غوس كريك.
The former City Hall is now the North York Civic Center.,أصبح مبنى البلدية السابق الآن مركز مدينة نورث يورك.
Solidarity was also declared a legal organization.,تم إعلان التضامن أيضًا منظمة قانونية.
McDonald's announced they were looking into possible copyright infringement of the name.,أعلنت ماكدونالدز أنها تبحث في احتمال انتهاك حقوق الطبع والنشر للاسم.
It was originally recorded by LaFace Records artist Sam Salter.,"تم تسجيله في الأصل من قبل فنان تسجيلات لافيس، سام سالتر."
Vectored Vaccines is another next generation vaccine.,اللقاحات الموجهة هي لقاح آخر من الجيل التالي.
Subsequent withdrawals by Chinese skaters were also replaced by Italian skaters.,تم استبدال الانسحابات اللاحقة للمتزلجين الصينيين أيضًا بالمتزلجين الإيطاليين.
He has contributed importantly to the history and origin of the modern Malay language.,لقد ساهم بشكل مهم في تاريخ وأصل اللغة الملايوية الحديثة.
Surrounding villages are copy Thorn to the northeast and Bartley to the southeast.,توجد قرى محيطة تُسمى ثورن إلى الشمال الشرقي وبارتلي إلى الجنوب الشرقي.
He arrived in the town immediately after its capture by the Royal Serbian army.,وصل إلى المدينة مباشرة بعد احتلالها من قبل الجيش الملكي الصربي.
It is the county seat of Trimble County.,إنها مق seat للمقاطعة في مقاطعة تريمبل.
From those we then tried to get a contradiction.,من هؤلاء حاولنا بعد ذلك الحصول على تناقض.
He may be regarded as one of the founders of petrographical science.,يمكن اعتباره أحد مؤسسي علم البتروغرافيا.
Users can then use content filtering software to censor various types of content.,يمكن للمستخدمين بعد ذلك استخدام برامج تصفية المحتوى لفرض الرقابة على أنواع مختلفة من المحتوى.
This can be shown by assigning two distinct numerical values to the dichotomous variable.,يمكن إثبات ذلك عن طريق تخصيص قيمتين رقميتين متميزتين للمتغير الثنائي.
It is the headquarters of Thunderland City Council.,إنه مقر مجلس مدينة ثندرلاند.
Its seat is located in the town of Mora.,يقع مقره في مدينة مورا.
"Doc lives in St. Clair, Michigan with his wife, Joyce.","يعيش دوك في سانت كلير، ميشيغان مع زوجته، جوي."
The Allen area was previously home to the Caddo Comanche and other indigenous peoples.,كانت منطقة ألين موطنًا سابقًا لشعب كادو كومانتش وغيرهم من الشعوب الأصلية.
"When Quinn mentioned that he was drawn to acting, Wright encouraged him.","عندما ذكر كوين أنه كان مغرماً بالتمثيل، شجعه رايت."
He later would invite Adam Lazara to join the band.,"في وقت لاحق، دعا آدم لازارا للانضمام إلى الفرقة."
The following is the Serbia roster in the Olympic qualifying tournament.,فيما يلي قائمة اللاعبين الصربيين في بطولة التأهل للألعاب الأولمبية.
Subscribers received a disk with the scenario files already created.,تلقى المشتركون قرصًا يحتوي على ملفات السيناريو التي تم إنشاؤها بالفعل.
Finus Ockham and Scotus wrote commentaries on On Interpretation.,كتب فينوس أوكهام وسكوتوس شروحًا على 'في التفسير.'
"However, Thornley severed his connection with Better Place only three months later.","ومع ذلك، قطع ثورني علاقته مع بتر بليس بعد ثلاثة أشهر فقط."
Applicants must have resided in the country for five years.,يجب أن يكون المتقدمون قد أقاموا في البلاد لمدة خمس سنوات.
"Under the current system, supervisors are elected by district to four-year terms.","في النظام الحالي، يتم انتخاب المشرفين من قبل المنطقة لفترات مدتها أربع سنوات."
The same principle is taken to an extreme in I-beams.,يتم أخذ نفس المبدأ إلى أقصى الحدود في العوارض على شكل حرف I.
"In Germanic mythology, Eilren is the wife of Agilaz, the legendary archer.","في الأساطير الجرمانية، إيلرين هي زوجة أغيلاز، الرامي الأسطوري."
He regularly visited Krause for advice.,كان يزور كراوس بانتظام للحصول على النصيحة.
"Thus, Maximin in the original position represents a formulation of social equality.","وبذلك، يمثل ماكسيمين في الوضع الأصلي صياغة للمساواة الاجتماعية."
He was a property consultant with a real estate firm before entering politics.,كان مستشار عقاري في شركة عقارات قبل دخوله عالم السياسة.
The latter became the costliest hurricane in Maine's history.,أصبح الأخير هو الأعاصير الأكثر تكلفة في تاريخ ولاية مين.
Production has many functions and diversity is the foundation of such production.,تمتلك الإنتاج العديد من الوظائف والتنوع هو أساس هذا الإنتاج.
It is an Eastern Iranian language belonging to the Indo-European family.,إنها لغة إيرانية شرقية تنتمي إلى العائلة الهندية الأوروبية.
Some would say progressive rock at its best.,بعضهم قد يقول إن موسيقى الروك التقدمية في أفضل حالاتها.
This is perhaps a mitigation of an older sentence of death by drowning.,قد يكون هذا تخفيفًا لجملة أقدم بالإعدام غرقًا.
The village is served by Gilfok Fargoed Railway Station.,تخدم القرية محطة سكة حديد جيلفوك فارغود.
McCall has pioneered cancer immunotherapies for children.,كان مكال رائدًا في علاجات المناعة لسرطان الأطفال.
An outspoken girl who was mistreated by Neil.,فتاة صريحة تعرضت لسوء المعاملة من نيل.
They found the answer to be in the affirmative.,وجدوا أن الإجابة كانت إيجابية.
"In American football, midfield refers to the halfway line.","في كرة القدم الأمريكية، تشير منطقة المنتصف إلى خط المنتصف."
Saudi Arabia entered one Karateka into the inaugural Olympic tournament.,دخلت السعودية كاراتيكا واحدًا في البطولة الأولمبية الافتتاحية.
"By measuring the diameter of the ring, its total age could be estimated.","من خلال قياس قطر الحلقة، يمكن تقدير عمرها الإجمالي."
Kerner was particularly active in the fields of phytogeography and phytosociology.,كان كيرنر نشطًا بشكل خاص في مجالات علم النبات الجغرافي وعلم الاجتماع النباتي.
The National Assembly has the power to remove government ministers from their post.,يمتلك الجمعية الوطنية السلطة لإقالة وزراء الحكومة من مناصبهم.
The board appealed the decision to the Supreme Court.,استأنف المجلس القرار إلى المحكمة العليا.
The city of Medford lies mostly within the town boundaries.,تقع مدينة ميدفورد في الغالب ضمن حدود المدينة.
Movie Guide rates movies for both quality and acceptability.,يقيم دليل الأفلام الأفلام من حيث الجودة والقبول.
Whitewash is based on the same chemistry.,الطلاء الأبيض يعتمد على نفس الكيمياء.
It merged with Cleveland scene.,اندمجت مع مشهد كليفلاند.
The associated steam raising plant and hydraulic pumps have been removed.,تمت إزالة محطة رفع البخار المرتبطة والمضخات الهيدروليكية.
"In the jungle, Lyra is affected by the deadly disease and shortly dies.","في الغابة، تتأثر ليرا بالمرض القاتل وتموت بعد فترة قصيرة."
"Miriam read also, obliterating herself.","قرأت مريم أيضًا، مما أدى إلى إلغاء نفسها."
She earned a Golden Globe Award nomination for the role.,حصلت على ترشيح لجائزة الغولدن غلوب عن الدور.
He has continued his career by appearing in various cinema and television productions.,استمر في مسيرته من خلال الظهور في إنتاجات سينمائية وتلفزيونية متنوعة.
"In the 19th century, Plainville was served by the Farmington Canal.","في القرن التاسع عشر، كانت بلينفيل تخدمها قناة فارمنجتون."
"Fortunately for patients afflicted with parosmia, symptoms usually decrease with time.","لحسن حظ المرضى المصابين بالباروزميا، عادة ما تقل الأعراض مع مرور الوقت."
Another anglization was pick of where.,كان هناك أنغليز آخر وهو اختيار المكان.
"In parliamentary elections in September, the party won four seats.","في الانتخابات البرلمانية في سبتمبر، فاز الحزب بأربعة مقاعد."
To upgrade the standard of education in Pakistan.,لترقية مستوى التعليم في باكستان.
"Only Shi Kasina and Shi Kriana, who were visiting West Germany, escaped.","نجا فقط شي كاسينا وشي كريانا، الذين كانوا يزورون ألمانيا الغربية."
The unincorporated community of West Almond is located in the town.,تقع المجتمع غير المعتمد من غرب اللوز في المدينة.
A positive result would be the jerking of the foot towards its plantar surface.,ستكون النتيجة الإيجابية هي انقباض القدم نحو سطحها الأخمصي.
